w1,w2
happiness,sadness
easterly,westerly
little,much
inorganic,organic
ascend,descend
downstream,upstream
detected,undetected
charge,discharge
privately,publicly
inclined,vertical
assent,dissent
aged,young
hide,show
avoid,confront
irregular,regular
confirmed,unconfirmed
natural,sharp
location,studio
general,specific
delicate,rugged
convincing,unconvincing
find,lose
humane,inhumane
oblique,perpendicular
abundance,scarcity
controlled,uncontrolled
closed,open
concealing,revealing
direct,indirect
defensively,offensively
orthodox,unorthodox
unveiled,veiled
familiar,strange
patterned,plain
eastern,western
active,extinct
admit,reject
insoluble,soluble
sleep,wake
activity,inactivity
coastal,inland
loaded,unloaded
appearance,disappearance
double,single
general,particular
darkness,lightness
different,same
intoxicated,sober
immoral,moral
breathing,breathless
insensitive,sensitive
courage,cowardice
advance,retreat
adjective,substantive
disengage,engage
natural,supernatural
medical,surgical
manned,unmanned
affirmation,reversal
actual,potential
hit,miss
fewer,more
large,small
silence,sound
exclusive,inclusive
strengthening,weakening
unwilling,willing
forget,mind
common,individual
hate,love
future,present
absorb,emit
moved,unmoved
few,many
foot,head
seated,standing
lawful,unlawful
explicit,implicit
incoming,outgoing
least,most
compatible,incompatible
side,top
blessed,cursed
maximize,minimize
curly,straight
abstract,concrete
multiply,singly
agonist,antagonist
nonviolent,violent
conspicuous,inconspicuous
keep,lose
big,little
conserve,waste
antagonistic,conciliatory
dislike,liking
past,present
defend,prosecute
background,foreground
docile,stubborn
strength,weakness
frequent,infrequent
right,wrongly
broadly,narrowly
externally,internally
intermediate,terminal
express,local
fidelity,infidelity
compact,loose
successfully,unsuccessfully
trained,untrained
narrow,wide
differ,equal
lost,saved
distrust,trust
tidy,untidy
equal,unequal
nephew,niece
published,unpublished
cool,heat
necessarily,unnecessarily
acyclic,cyclic
move,stay
instrumental,vocal
exclude,include
functional,organic
end,middle
censored,uncensored
accidentally,deliberately
failing,passing
deposit,withdraw
accept,reject
formally,informally
valuable,worthless
prefix,suffix
anal,oral
cheap,expensive
reliable,unreliable
intense,mild
green,ripe
downwards,upwards
inhabited,uninhabited
virtuous,wicked
illegal,legal
downward,upward
joy,sorrow
pleasant,unpleasant
relaxed,tense
correct,incorrect
highland,lowland
continuation,discontinuation
open,shut
off,on
flat,natural
displeased,pleased
harmful,harmless
sparkling,still
even,uneven
irregularly,regularly
extracellular,intracellular
advantage,disadvantage
questionable,unquestionable
fair,foul
cheer,complain
joint,separate
empirical,theoretical
injustice,justice
demotion,promotion
less,more
female,male
all,some
depart,stay
impractical,practical
born,unborn
clockwise,counterclockwise
contracted,expanded
fail,manage
difficulty,ease
father,mother
heterosexual,homosexual
guilty,innocent
break,repair
absence,presence
liquid,solid
bright,dull
molar,molecular
realistic,unrealistic
exclusion,inclusion
imperfect,perfect
religious,secular
beginning,end
disembark,embark
armed,unarmed
finite,infinite
aware,unaware
accessible,inaccessible
cry,laugh
clarity,opacity
adult,juvenile
civilian,military
destroyed,preserved
