lemma,word,family_type,transform_type,freq
walk,walk,inflection,verb_regular,351
walk,walks,inflection,verb_regular,152
walk,walking,inflection,verb_regular,241
walk,walked,inflection,verb_regular,124
play,play,inflection,verb_regular,2919
play,plays,inflection,verb_regular,631
play,playing,inflection,verb_regular,1583
play,played,inflection,verb_regular,3349
talk,talk,inflection,verb_regular,360
talk,talks,inflection,verb_regular,185
talk,talking,inflection,verb_regular,236
talk,talked,inflection,verb_regular,92
open,open,inflection,verb_regular,1792
open,opens,inflection,verb_regular,162
open,opening,inflection,verb_regular,1294
open,opened,inflection,verb_regular,1620
call,call,inflection,verb_regular,705
call,calls,inflection,verb_regular,457
call,calling,inflection,verb_regular,657
call,called,inflection,verb_regular,4724
study,study,inflection,verb_y_to_i,1148
study,studies,inflection,verb_y_to_i,736
study,studying,inflection,verb_y_to_i,170
study,studied,inflection,verb_y_to_i,367
try,try,inflection,verb_y_to_i,402
try,tries,inflection,verb_y_to_i,298
try,trying,inflection,verb_y_to_i,516
try,tried,inflection,verb_y_to_i,679
carry,carry,inflection,verb_y_to_i,435
carry,carries,inflection,verb_y_to_i,216
carry,carrying,inflection,verb_y_to_i,353
carry,carried,inflection,verb_y_to_i,969
stop,stop,inflection,verb_double_consonant,716
stop,stops,inflection,verb_double_consonant,187
stop,stopping,inflection,verb_double_consonant,93
stop,stopped,inflection,verb_double_consonant,397
plan,plan,inflection,verb_double_consonant,1041
plan,plans,inflection,verb_double_consonant,812
plan,planning,inflection,verb_double_consonant,408
plan,planned,inflection,verb_double_consonant,850
occur,occur,inflection,verb_double_consonant,526
occur,occurs,inflection,verb_double_consonant,397
occur,occurring,inflection,verb_double_consonant,177
occur,occurred,inflection,verb_double_consonant,867
move,move,inflection,verb_drop_e,1126
move,moves,inflection,verb_drop_e,331
move,moving,inflection,verb_drop_e,843
move,moved,inflection,verb_drop_e,2447
love,love,inflection,verb_drop_e,1978
love,loves,inflection,verb_drop_e,84
love,loving,inflection,verb_drop_e,58
love,loved,inflection,verb_drop_e,176
create,create,inflection,verb_regular,876
create,creates,inflection,verb_regular,81
create,creating,inflection,verb_regular,416
create,created,inflection,verb_regular,1711
develop,develop,mixed,verb_to_noun_ment,537
develop,develops,mixed,verb_to_noun_ment,103
develop,developing,mixed,verb_to_noun_ment,405
develop,developed,mixed,verb_to_noun_ment,1846
develop,development,mixed,verb_to_noun_ment,2068
argue,argue,mixed,verb_to_noun_irregular,100
argue,argues,mixed,verb_to_noun_irregular,186
argue,arguing,mixed,verb_to_noun_irregular,140
argue,argued,mixed,verb_to_noun_irregular,518
argue,argument,mixed,verb_to_noun_irregular,194
decide,decide,mixed,verb_to_noun_sion,182
decide,decides,mixed,verb_to_noun_sion,244
decide,deciding,mixed,verb_to_noun_sion,127
